iter	RMSE
0	39.06283728
1	37.4874816
2	35.94951063
3	34.52311819
4	33.17846121
5	31.86553799
6	30.61643608
7	29.44926216
8	28.33857435
9	27.29764253
10	26.28129219
11	25.34447598
12	24.44381879
13	23.60059722
14	22.79657004
15	22.0489261
16	21.28874815
17	20.60263204
18	19.9432829
19	19.33680471
20	18.74851412
21	18.19569235
22	17.66787251
23	17.18228176
24	16.68335567
25	16.23821484
26	15.78767259
27	15.37000164
28	14.98290519
29	14.62618148
30	14.28209167
31	13.96309761
32	13.6377873
33	13.35524083
34	13.05808259
35	12.80001562
36	12.56437539
37	12.34024864
38	12.07517813
39	11.86361072
40	11.6715762
41	11.49123561
42	11.32170647
43	11.13806387
44	10.97375446
45	10.82983472
46	10.65926939
47	10.53406715
48	10.39032114
49	10.27190533
50	10.12884979
51	10.00323595
52	9.881529345
53	9.763202928
54	9.676252513
55	9.569080371
56	9.482831092
57	9.397952959
58	9.315159621
59	9.235640293
60	9.162913362
61	9.092181898
62	9.028670395
63	8.959324747
64	8.906871702
65	8.849579275
66	8.801758479
67	8.752461626
68	8.699959905
69	8.652034337
70	8.611796181
71	8.573937303
72	8.538331364
73	8.497770965
74	8.464924585
75	8.433607632
76	8.406425312
77	8.375398006
78	8.341696275
79	8.311035517
80	8.283707749
81	8.257128103
82	8.233917876
83	8.214674719
84	8.194518547
85	8.176290152
86	8.157464533
87	8.137073846
88	8.113919108
89	8.094902375
90	8.07934976
91	8.059948454
92	8.040926016
93	8.021605472
94	7.998953699
95	7.981365819
96	7.966205667
97	7.951755725
98	7.940124256
99	7.923548182
100	7.908932706
101	7.89346142
102	7.881459489
103	7.866514914
104	7.854891193
105	7.843972282
106	7.82934669
107	7.820037493
108	7.808003617
109	7.793446608
110	7.783061929
111	7.773240284
112	7.766216625
113	7.75504724
114	7.744088654
115	7.736755205
116	7.732001756
117	7.722675162
118	7.711685897
119	7.708580699
120	7.698786013
121	7.69118086
122	7.684234308
123	7.681226575
124	7.672097662
125	7.670159169
126	7.660816513
127	7.657260906
128	7.648934872
129	7.642644257
130	7.633683525
131	7.630644434
132	7.62199609
133	7.616164175
134	7.607934383
135	7.605036688
136	7.598823567
137	7.58934641
138	7.581389451
139	7.572388567
140	7.566251569
141	7.560364829
142	7.552346139
143	7.548805217
144	7.541740825
145	7.534816969
146	7.528866682
147	7.522420937
148	7.514091256
149	7.508478904
150	7.503312245
151	7.496447631
152	7.490545601
153	7.483269006
154	7.47691458
155	7.470821421
156	7.466173637
157	7.460161596
158	7.454330559
159	7.447870976
160	7.442483782
161	7.43612521
162	7.430700869
163	7.425245563
164	7.420796082
165	7.415258554
166	7.411007358
167	7.405553989
168	7.400849549
169	7.396159011
170	7.391129938
171	7.385725404
172	7.379527947
173	7.37539907
174	7.370773706
175	7.364744585
176	7.361066861
177	7.356642053
178	7.352614027
179	7.34613311
180	7.342280173
181	7.338347653
182	7.334140109
183	7.330514182
184	7.326304205
185	7.322339603
186	7.319194513
187	7.314749389
188	7.310652184
189	7.307330415
190	7.30253159
191	7.297444943
192	7.294541276
193	7.290566366
194	7.286857553
195	7.282359148
196	7.276957829
197	7.272281014
198	7.268231316
199	7.26416874
