iter	Passed	Remaining
0	12	2575
1	28	2802
2	41	2756
3	56	2756
4	70	2745
5	84	2720
6	97	2695
7	111	2672
8	124	2649
9	138	2635
10	152	2618
11	166	2606
12	180	2593
13	193	2572
14	207	2565
15	221	2552
16	235	2536
17	249	2518
18	262	2499
19	274	2470
20	287	2450
21	301	2435
22	315	2428
23	328	2412
24	345	2418
25	359	2408
26	375	2404
27	389	2395
28	404	2383
29	417	2368
30	431	2351
31	443	2325
32	455	2303
33	467	2284
34	482	2273
35	496	2261
36	510	2251
37	524	2236
38	539	2226
39	552	2211
40	566	2196
41	578	2174
42	589	2151
43	599	2125
44	608	2095
45	617	2067
46	626	2040
47	634	2010
48	643	1983
49	653	1961
50	666	1946
51	680	1935
52	694	1925
53	708	1915
54	723	1906
55	737	1895
56	751	1884
57	766	1876
58	781	1867
59	795	1856
60	808	1842
61	820	1826
62	831	1807
63	842	1789
64	851	1768
65	861	1749
66	870	1728
67	878	1705
68	887	1685
69	896	1664
70	904	1643
71	911	1620
72	917	1595
73	924	1573
74	930	1550
75	937	1530
76	946	1511
77	955	1494
78	967	1481
79	977	1466
80	987	1450
81	996	1434
82	1005	1416
83	1018	1406
84	1031	1396
85	1045	1385
86	1058	1374
87	1071	1364
88	1087	1356
89	1100	1344
90	1111	1331
91	1124	1319
92	1134	1305
93	1146	1292
94	1160	1282
95	1173	1270
96	1186	1259
97	1199	1248
98	1212	1237
99	1226	1226
100	1238	1214
101	1250	1201
102	1260	1186
103	1269	1171
104	1278	1156
105	1289	1143
106	1297	1127
107	1305	1112
108	1316	1099
109	1327	1085
110	1342	1076
111	1354	1064
112	1368	1053
113	1383	1043
114	1396	1031
115	1407	1019
116	1417	1005
117	1428	992
118	1439	979
119	1447	965
120	1455	950
121	1464	936
122	1474	923
123	1482	908
124	1491	894
125	1499	880
126	1509	867
127	1517	853
128	1528	841
129	1540	829
130	1552	817
131	1563	805
132	1576	794
133	1590	783
134	1601	771
135	1610	757
136	1619	744
137	1629	732
138	1637	718
139	1647	705
140	1656	693
141	1669	681
142	1680	669
143	1691	657
144	1703	646
145	1716	634
146	1728	623
147	1742	612
148	1754	600
149	1763	587
150	1774	575
151	1784	563
152	1793	550
153	1801	538
154	1810	525
155	1819	513
156	1829	500
157	1839	488
158	1848	476
159	1856	464
160	1866	452
161	1876	440
162	1884	427
163	1891	415
164	1897	402
165	1902	389
166	1908	377
167	1914	364
168	1920	352
169	1925	339
170	1931	327
171	1935	315
172	1942	303
173	1951	291
174	1959	279
175	1970	268
176	1984	257
177	1998	246
178	2009	235
179	2022	224
180	2034	213
181	2046	202
182	2059	191
183	2075	180
184	2089	169
185	2102	158
186	2114	147
187	2129	135
188	2142	124
189	2155	113
190	2168	102
191	2182	90
192	2193	79
193	2204	68
194	2216	56
195	2225	45
196	2233	34
197	2242	22
198	2251	11
199	2259	0
