sku,data_venda,venda
336,2024-01-14,15
336,2024-01-18,28
336,2024-01-20,34
336,2024-01-23,32
336,2024-01-25,27
336,2024-01-26,43
336,2024-01-27,35
336,2024-01-28,16
336,2024-01-31,27
336,2024-02-01,28
336,2024-02-02,24
336,2024-02-03,56
336,2024-02-04,24
387,2024-01-14,43
387,2024-01-15,35
387,2024-01-16,35
387,2024-01-18,44
387,2024-01-19,39
387,2024-01-20,52
387,2024-01-21,32
387,2024-01-23,29
387,2024-01-24,23
387,2024-01-25,27
387,2024-01-27,53
387,2024-01-28,24
387,2024-01-29,35
387,2024-01-30,19
387,2024-01-31,23
387,2024-02-01,37
387,2024-02-02,26
387,2024-02-03,37
387,2024-02-04,46
387,2024-02-05,23
421,2024-01-17,13
421,2024-01-18,13
421,2024-01-19,13
421,2024-01-20,23
421,2024-01-21,18
421,2024-01-29,10
421,2024-02-03,22
421,2024-02-04,14
652,2024-01-14,48
652,2024-01-15,63
652,2024-01-18,75
652,2024-01-19,83
652,2024-01-20,108
652,2024-01-23,61
652,2024-01-24,64
652,2024-01-25,61
652,2024-01-26,79
652,2024-01-27,93
652,2024-01-28,41
652,2024-01-29,58
652,2024-01-30,63
652,2024-02-01,71
652,2024-02-02,58
652,2024-02-03,87
652,2024-02-04,48
652,2024-02-05,60
896,2024-01-15,18
896,2024-01-16,16
896,2024-01-17,19
896,2024-01-19,22
896,2024-01-20,18
896,2024-01-22,15
896,2024-01-27,19
896,2024-01-31,14
896,2024-02-03,20
904,2024-01-15,19
904,2024-01-16,27
904,2024-01-17,21
904,2024-01-18,16
904,2024-01-20,15
904,2024-01-21,16
904,2024-01-27,17
904,2024-01-30,21
904,2024-01-31,17
904,2024-02-04,18
1835,2024-01-15,14
1835,2024-01-17,12
1835,2024-01-20,11
3010,2024-01-14,10
3010,2024-01-18,12
3010,2024-01-20,18
3010,2024-01-22,11
3010,2024-02-01,12
3109,2024-02-03,13
4037,2024-01-25,10
4037,2024-01-26,13
4037,2024-01-27,22
4037,2024-01-28,10
4037,2024-02-01,14
4438,2024-02-02,16
4438,2024-02-03,23
4438,2024-02-04,16
4438,2024-02-05,10
4868,2024-02-02,15
4868,2024-02-03,22
4868,2024-02-04,13
4868,2024-02-05,12
201,2024-01-20,22
201,2024-01-22,23
201,2024-01-23,32
