data,realized_total,lgbm_total,catboost_total,reconciled_total
2024-01-14,32191.0,29541.616590017322,25391.80781807285,27466.712204045085
2024-01-15,38511.0,36107.40618932595,34372.630487707276,35240.01833851662
2024-01-16,39826.0,38352.4936935694,37215.2747810942,37783.884237331804
2024-01-17,38489.0,39075.638846865186,38492.59953266533,38784.11918976526
2024-01-18,39571.0,40896.98590574256,40384.417862081165,40640.70188391186
2024-01-19,43908.0,44086.338238754775,43446.441499989756,43766.389869372266
2024-01-20,62998.0,62827.23727720404,61879.67981895409,62353.45854807906
2024-01-21,30475.0,31661.75294278432,32742.924816299146,32202.338879541734
2024-01-22,34153.0,34282.41260678516,34493.641129594485,34388.02686818982
2024-01-23,33442.0,34306.38951475349,35236.96717028587,34771.67834251968
2024-01-24,35357.0,35772.826527898396,36265.389351778314,36019.10793983835
2024-01-25,38238.0,37780.98488122243,38151.85563023016,37966.4202557263
2024-01-26,41755.0,42735.260636996056,43502.61407546887,43118.93735623246
2024-01-27,60817.0,62005.593836448956,63943.33264793218,62974.46324219057
2024-01-28,27862.0,28864.245256750735,29735.43370588275,29299.839481316743
2024-01-29,29787.0,30111.468134844497,29584.36135056703,29847.91474270576
2024-01-30,31447.0,30855.95875979793,30885.4550193543,30870.706889576115
2024-01-31,33449.0,33000.857966866286,32922.59931180644,32961.72863933636
2024-02-01,36788.0,36050.947161838434,35959.9423246525,36005.44474324547
2024-02-02,41618.0,41092.84183701651,41594.768910410254,41343.80537371338
2024-02-03,69039.0,64861.8194919369,65267.418835021606,65064.61916347925
2024-02-04,33892.0,32799.33458016301,33267.523050185664,33033.42881517434
2024-02-05,34833.0,32711.582298302797,32309.50973983881,32510.546019070804
2024-02-06,38510.0,34013.90399138839,34559.84303555931,34286.873513473845
2024-02-07,44751.0,40794.03526478628,40047.580919050735,40420.80809191851
2024-02-08,51903.0,47320.48444729741,46103.456241696986,46711.9703444972
2024-02-09,54769.0,53060.63093174391,51710.84823688689,52385.7395843154
2024-02-10,65757.0,75087.06130148542,75187.06741717263,75137.06435932903
2024-02-11,26768.0,31738.8215802667,32148.348894282743,31943.58523727472
2024-02-12,40329.0,36459.71959793554,35713.224279079914,36086.471938507726
2024-02-13,21735.0,29690.343689402296,31182.830410555143,30436.58704997872
2024-02-14,33755.0,33944.86743223387,34373.90740382675,34159.38741803031
2024-02-15,32859.0,36867.765497026245,37755.27743698154,37311.52146700389
2024-02-16,39933.0,40692.83067834906,41977.99162960615,41335.411153977606
2024-02-17,67928.0,64474.64011141147,65395.9270024527,64935.28355693209
2024-02-18,33491.0,32484.708239124342,33122.83134267295,32803.769790898645
2024-02-19,27243.0,29167.882723739778,29959.97245395834,29563.92758884906
2024-02-20,27963.0,28223.47821207097,28627.848472657173,28425.663342364074
2024-02-21,28634.0,30628.905820850934,30509.65356877838,30569.279694814657
2024-02-22,31066.0,32271.215416444997,32368.01928024945,32319.617348347223
2024-02-23,37197.0,37241.912908293525,38028.858299404266,37635.385603848896
2024-02-24,66145.0,63373.41524403714,63955.613308282766,63664.51427615995
2024-02-25,33003.0,31832.302427442908,32450.97893524992,32141.640681346416
2024-02-26,26085.0,28220.48743493491,28338.811615961637,28279.649525448272
2024-02-27,27264.0,26991.723364578746,27491.87366293711,27241.798513757927
2024-02-28,30854.0,30704.884987012367,30496.070066772307,30600.477526892337
2024-02-29,35910.0,34845.04050125571,34546.926759304326,34695.98363028002
2024-03-01,45709.0,41173.974679344064,41239.12851748436,41206.55159841421
2024-03-02,83774.0,78193.9703491932,77962.01469685447,78077.99252302383
2024-03-03,41295.0,38355.98465632418,38360.619811300574,38358.30223381238
2024-03-04,31009.0,32041.413139108987,32191.32020177622,32116.366670442603
2024-03-05,31956.0,31593.55893013251,31559.185806959897,31576.372368546203
2024-03-06,36472.0,35975.35937230424,35063.581405677214,35519.470388990725
2024-03-07,40649.0,40745.30067240627,39828.10922540577,40286.70494890602
2024-03-08,49582.0,47119.97064479813,46700.8413228077,46910.40598380291
2024-03-09,90745.0,87386.24628846941,86211.34063825475,86798.79346336209
2024-03-10,45232.0,43052.0291451649,43381.86785277361,43216.94849896926
2024-03-11,31116.0,33490.120330018646,33963.29166143581,33726.70599572723
2024-03-12,32484.0,32784.38403981292,33043.24041436382,32913.81222708837
2024-03-13,33522.0,35942.49655263191,35421.121968447966,35681.809260539936
2024-03-14,37175.0,38956.82524025318,38556.032527764495,38756.428884008834
2024-03-15,49636.0,47114.99834190905,47035.571269324064,47075.28480561656
2024-03-16,84803.0,87147.97774703562,87410.36513438752,87279.17144071157
2024-03-17,40935.0,40864.04033795679,40713.00716712333,40788.52375254006
2024-03-18,31372.0,32200.52963342406,32836.73457468944,32518.632104056753
